name	probe_name	x	y	z	hemisphere	impedance	shank_id	location
e000	array	n/a	n/a	n/a	n/a	n/a	shank0	brain area
e001	array	n/a	n/a	n/a	n/a	n/a	shank0	brain area
e002	array	n/a	n/a	n/a	n/a	n/a	shank0	brain area
e003	array	n/a	n/a	n/a	n/a	n/a	shank0	brain area
e004	array	n/a	n/a	n/a	n/a	n/a	shank0	brain area
e005	array	n/a	n/a	n/a	n/a	n/a	shank0	brain area
e006	array	n/a	n/a	n/a	n/a	n/a	shank0	brain area
e007	array	n/a	n/a	n/a	n/a	n/a	shank0	brain area
e008	array	n/a	n/a	n/a	n/a	n/a	shank0	brain area
e009	array	n/a	n/a	n/a	n/a	n/a	shank0	brain area
e010	array	n/a	n/a	n/a	n/a	n/a	shank1	brain area
e011	array	n/a	n/a	n/a	n/a	n/a	shank1	brain area
e012	array	n/a	n/a	n/a	n/a	n/a	shank1	brain area
e013	array	n/a	n/a	n/a	n/a	n/a	shank1	brain area
e014	array	n/a	n/a	n/a	n/a	n/a	shank1	brain area
e015	array	n/a	n/a	n/a	n/a	n/a	shank1	brain area
e016	array	n/a	n/a	n/a	n/a	n/a	shank1	brain area
e017	array	n/a	n/a	n/a	n/a	n/a	shank1	brain area
e018	array	n/a	n/a	n/a	n/a	n/a	shank1	brain area
e019	array	n/a	n/a	n/a	n/a	n/a	shank1	brain area
e020	array	n/a	n/a	n/a	n/a	n/a	shank2	brain area
e021	array	n/a	n/a	n/a	n/a	n/a	shank2	brain area
e022	array	n/a	n/a	n/a	n/a	n/a	shank2	brain area
e023	array	n/a	n/a	n/a	n/a	n/a	shank2	brain area
e024	array	n/a	n/a	n/a	n/a	n/a	shank2	brain area
e025	array	n/a	n/a	n/a	n/a	n/a	shank2	brain area
e026	array	n/a	n/a	n/a	n/a	n/a	shank2	brain area
e027	array	n/a	n/a	n/a	n/a	n/a	shank2	brain area
e028	array	n/a	n/a	n/a	n/a	n/a	shank2	brain area
e029	array	n/a	n/a	n/a	n/a	n/a	shank2	brain area
e030	array	n/a	n/a	n/a	n/a	n/a	shank3	brain area
e031	array	n/a	n/a	n/a	n/a	n/a	shank3	brain area
e032	array	n/a	n/a	n/a	n/a	n/a	shank3	brain area
e033	array	n/a	n/a	n/a	n/a	n/a	shank3	brain area
e034	array	n/a	n/a	n/a	n/a	n/a	shank3	brain area
e035	array	n/a	n/a	n/a	n/a	n/a	shank3	brain area
e036	array	n/a	n/a	n/a	n/a	n/a	shank3	brain area
e037	array	n/a	n/a	n/a	n/a	n/a	shank3	brain area
e038	array	n/a	n/a	n/a	n/a	n/a	shank3	brain area
e039	array	n/a	n/a	n/a	n/a	n/a	shank3	brain area
e040	array	n/a	n/a	n/a	n/a	n/a	shank4	brain area
e041	array	n/a	n/a	n/a	n/a	n/a	shank4	brain area
e042	array	n/a	n/a	n/a	n/a	n/a	shank4	brain area
e043	array	n/a	n/a	n/a	n/a	n/a	shank4	brain area
e044	array	n/a	n/a	n/a	n/a	n/a	shank4	brain area
e045	array	n/a	n/a	n/a	n/a	n/a	shank4	brain area
e046	array	n/a	n/a	n/a	n/a	n/a	shank4	brain area
e047	array	n/a	n/a	n/a	n/a	n/a	shank4	brain area
e048	array	n/a	n/a	n/a	n/a	n/a	shank4	brain area
e049	array	n/a	n/a	n/a	n/a	n/a	shank4	brain area
